2025-03-12 13:23:15.4025 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:23:15.4025 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 10.2564ms 
2025-03-12 13:23:15.4193 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 657.6526ms 
2025-03-12 13:23:15.4658 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 57.0471ms 
2025-03-12 13:23:15.5288 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:23:15.7061 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 177.6090ms 
2025-03-12 13:23:21.9343 | INFO | Request starting HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 58 
2025-03-12 13:23:21.9499 | INFO | Executing endpoint 'FullDemo.Controllers.UsersController.Login (FullDemo)' 
2025-03-12 13:23:21.9795 | INFO | Route matched with {action = "Login", controller = "Users"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[FullDemo.Models.Response] Login(FullDemo.Models.DTO.DTOITH02) on controller FullDemo.Controllers.UsersController (FullDemo). 
2025-03-12 13:23:22.0472 | INFO | Executing action method FullDemo.Controllers.UsersController.Login (FullDemo) - Validation state: Valid 
2025-03-12 13:23:23.1244 | INFO | Executed action method FullDemo.Controllers.UsersController.Login (FullDemo), returned result Microsoft.AspNetCore.Mvc.BadRequestObjectResult in 1072.4128ms. 
2025-03-12 13:23:23.1244 | INFO | Executing BadRequestObjectResult, writing value of type 'FullDemo.Models.Response'. 
2025-03-12 13:23:23.1432 | INFO | Executed action FullDemo.Controllers.UsersController.Login (FullDemo) in 1162.138ms 
2025-03-12 13:23:23.1432 | INFO | Executed endpoint 'FullDemo.Controllers.UsersController.Login (FullDemo)' 
2025-03-12 13:23:23.1432 | INFO | Request finished HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 58 - 400 - application/json;+charset=utf-8 1211.4477ms 
2025-03-12 13:23:37.6110 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:23:37.6396 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 28.7943ms 
